id,name,genre,artists,album,popularity,duration_ms,explicit,Clusters,name_lower
57gf8TTzlk1BE5R4C7gfz6,hunger of the pine,alt-rock,alt-J,Hunger of the Pine,26,298670,False,3,hunger of the pine
35a7EjRYYLLyH4prB1zExl,rock and roll - alternate mix,alt-rock,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),32,219680,False,1,rock and roll - alternate mix
2H6NbSsccvcT1j4jwAjDmf,pusher,alt-rock,alt-J,This Is All Yours,29,209270,False,1,pusher
428wldKJlnRDngUc7UPS2C,georgia rhythm,alt-rock,Atlanta Rhythm Section,A Rock And Roll Alternative,30,292733,False,3,georgia rhythm
2gODWsWhiGdm5ERRKJMVFx,s.a.d,alt-rock,The Exies,s.A.D,33,238130,False,0,s.a.d
4goPVvd80KQ6a6uJcvQc5i,rock that shit! - sped up,alt-rock,"Anarchist Sanctuary, asteria",ROCK THAT SHIT! (Alternate Mixes),28,102860,True,1,rock that shit! - sped up
3xiJykFwZZgioOjFVuyr2M,misfits : solar,alt-rock,ALT BLK ERA,Misfits : SOLAR,29,179317,False,1,misfits : solar
5QOXH3mNBeA3BEVmi4U3Cl,alternative rock,alt-rock,"HOYO-MiX, 王可鑫",Honkai: Star Rail - Out of Control (Original Game Soundtrack),26,78750,False,1,alternative rock
1lmMwYy7UlBFCmBWWYeIjB,awake 24,alt-rock,Ra,Awake 24,26,243654,False,1,awake 24
40m4TVdRgogwawVxD9qEwk,rock steady,alt-rock,Alton Ellis,Treasure Isle Collection,22,158106,False,1,rock steady
1yDraXjOPLhkBljQq6HCQ8,walk a mile,alt-rock,alt-J,The Dream,25,389933,False,3,walk a mile
2e4vEkdm8h8mNnGHSBfTMT,ve kamleya,alt-rock,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),50,246988,False,0,ve kamleya
035SyYaZBffdxtuHRPE5SD,"keep the change, you filthy animal",alt-rock,All Time Low,Nothing Personal (Deluxe Version),31,200133,False,1,"keep the change, you filthy animal"
4oNm4AlbUo8XEDayfLxoup,rocker,alt-rock,Alter Ego,Transphormer,28,288053,False,3,rocker
0T5BNAzHqpSpJPbNeRYp7e,alternate reality 3035,alt-rock,tiedye ky,Basspunk Loverboy (Remastered),19,207483,False,1,alternate reality 3035
5b0KMebx2ZOPv91U42xOSv,rock around with ollie vee - alternate version,alt-rock,Buddy Holly,That'll Be The Day,31,138066,False,1,rock around with ollie vee - alternate version
0Sbvy1JbpkhtTvVvpvRoEs,face in the wind,alt-rock,311,Mosaic,23,220933,False,1,face in the wind
1krpd6EfCr6laRrmH7qBP2,rock around the clock (alternate take),alt-rock,Bill Haley & His Comets,Presenting Bill Haley & His Comets,30,131080,False,1,rock around the clock (alternate take)
7v0Pll0A9YnsiyYpzIRXDy,a.d.d,alt-rock,alt.,ABEYANCE,28,217582,True,1,a.d.d
3scsKPy4dLwvWjF8MgIXPQ,i'm still in love with you,alt-rock,Alton Ellis,Sings Rock and Soul,21,201493,False,1,i'm still in love with you
0ZFQxmNIOj03o7OMaiPcVX,alternative outro,alternative,LUCKI,Alternative Trap,41,290063,True,0,alternative outro
2yE3bwbhqypdsuhmv48Svn,alternative ulster,alternative,Stiff Little Fingers,Inflammable Material,45,163880,False,0,alternative ulster
4ylj6KTRlC25nhizGTlFPA,the alternative,alternative,Lyn Lapid,to love in the 21st century,46,183693,False,0,the alternative
7BgR4y0YtloMsx8uaZqgiX,alternative,alternative,RØRY,Family Drama,39,184800,False,0,alternative
17PtEAxSnO1aFWiMukDMWk,alternative trouble,alternative,LUCKI,Alternative Trap,34,198060,True,0,alternative trouble
5CUMbEbUWSQ78MJl6kCEyy,alternative,alternative,RØRY,ALTERNATIVE,28,184800,False,1,alternative
4p1ajZ2s5MGd5pg3knrI2D,alternative outro,alternative,LUCKI,Alternative Trap,20,290063,True,3,alternative outro
6MG4zuO1TDYLthCXnnuFA3,alternative universe,alternative,Apel8,Alternative Universe,32,156168,False,1,alternative universe
0hx7G6WWGpvz1wbQqFhZix,alternative baby,alternative,Reel Big Fish,Turn The Radio Off,21,177266,False,1,alternative baby
6nfDT5gdEAjc1oqtZZ6NZ8,alternative radio,alternative,Spose,Why Am I So Happy?,24,229941,True,1,alternative radio
6gm72gIqAhWNHpnNqQT1xs,alternative girlfriend,alternative,Barenaked Ladies,Disc One: All Their Greatest Hits 1991 - 2001,22,261613,False,3,alternative girlfriend
4C5b0yjGQCeQvqtWNu63hu,alternative,alternative,The Exploited,Singles & Rarities 1980-1983,30,120506,True,1,alternative
6aiY5SUOKG7cIg4IBiqR88,alternate universe,alternative,Zeph,crush (demos),26,56608,False,1,alternate universe
3nf8bPxahKPbLJxPYCEpMv,alternative thoughts,alternative,"Lofi Bee, Ogi Feel the Beat, Chill Select",Alternative Thoughts,27,138666,False,1,alternative thoughts
7hkZB3PBuxYvoIAWSJyu0C,the alternative,alternative,Lyn Lapid,to love in the 21st century: the epilogue,28,183693,False,1,the alternative
5uISOA1qg9sqUBW3RHBIGG,alternative healer,alternative,"Meditation Music Zone, Mindfulness Meditation Music Spa Maestro, Meditação e Espiritualidade Musica Academia","New Meditation Experience – Buddhist Meditation Music, Spiritual Enlightenment, Equanimity, Mantra Background Music",21,311373,False,3,alternative healer
0T5BNAzHqpSpJPbNeRYp7e,alternate reality 3035,alternative,tiedye ky,Basspunk Loverboy (Remastered),19,207483,False,1,alternate reality 3035
